DATE       TIME         DOY     DST                                  
2018-02-19 05:00:00.000 050        -9.00
2018-02-19 06:00:00.000 050        -7.00
2018-02-19 07:00:00.000 050        -9.00
2018-02-19 08:00:00.000 050       -14.00
2018-02-19 09:00:00.000 050       -17.00
2018-02-19 10:00:00.000 050       -15.00
2018-02-19 11:00:00.000 050       -10.00
2018-02-19 12:00:00.000 050        -8.00
2018-02-19 13:00:00.000 050        -2.00
2018-02-19 14:00:00.000 050        -2.00
2018-02-19 15:00:00.000 050        -6.00
2018-02-19 16:00:00.000 050        -8.00
2018-02-19 17:00:00.000 050       -10.00
2018-02-19 18:00:00.000 050       -10.00
2018-02-19 19:00:00.000 050        -7.00
2018-02-19 20:00:00.000 050        -6.00
2018-02-19 21:00:00.000 050        -6.00
2018-02-19 22:00:00.000 050        -3.00
2018-02-19 23:00:00.000 050        -5.00
2018-02-20 00:00:00.000 051        -5.00
2018-02-20 01:00:00.000 051        -3.00
2018-02-20 02:00:00.000 051        -1.00
2018-02-20 03:00:00.000 051         0.00
2018-02-20 04:00:00.000 051        -2.00
2018-02-20 05:00:00.000 051        -4.00
2018-02-20 06:00:00.000 051        -7.00
2018-02-20 07:00:00.000 051       -13.00
2018-02-20 08:00:00.000 051       -17.00
2018-02-20 09:00:00.000 051       -19.00
2018-02-20 10:00:00.000 051       -16.00
2018-02-20 11:00:00.000 051       -13.00
2018-02-20 12:00:00.000 051       -10.00
2018-02-20 13:00:00.000 051        -6.00
2018-02-20 14:00:00.000 051        -2.00
2018-02-20 15:00:00.000 051        -1.00
2018-02-20 16:00:00.000 051        -2.00
2018-02-20 17:00:00.000 051        -2.00
2018-02-20 18:00:00.000 051        -2.00
2018-02-20 19:00:00.000 051         3.00
2018-02-20 20:00:00.000 051         2.00
2018-02-20 21:00:00.000 051         1.00
2018-02-20 22:00:00.000 051         1.00
2018-02-20 23:00:00.000 051        -2.00
2018-02-21 00:00:00.000 052        -3.00
2018-02-21 01:00:00.000 052        -2.00
2018-02-21 02:00:00.000 052         0.00
2018-02-21 03:00:00.000 052         0.00
2018-02-21 04:00:00.000 052         0.00
2018-02-21 05:00:00.000 052         3.00
2018-02-21 06:00:00.000 052         9.00
2018-02-21 07:00:00.000 052        10.00
2018-02-21 08:00:00.000 052         4.00
2018-02-21 09:00:00.000 052        -4.00
2018-02-21 10:00:00.000 052        -4.00
2018-02-21 11:00:00.000 052        -1.00
2018-02-21 12:00:00.000 052         3.00
2018-02-21 13:00:00.000 052         4.00
